Country,Dish,Description,Recipe,Latitude,Longitude
France,Coq au Vin,"A classic French dish of chicken braised with wine, mushrooms, and onions","Ingredients: 1 whole chicken, 1 cup red wine, 2 onions, 2 carrots, 200g mushrooms, 4 cloves garlic, 1 tbsp tomato paste, 2 tbsp flour, 4 strips bacon, 2 tbsp butter, salt, pepper, thyme, bay leaf
 Instructions: Cut chicken into pieces, brown in butter. Add bacon, onions, carrots, and garlic, cook until soft. Stir in flour and tomato paste, cook for 1 min. Add wine, mushrooms, thyme, and bay leaf, simmer until chicken is tender. Season with salt and pepper, serve hot.
",46.603354,2.213749
Gabon,Poulet Nyembwe,A Gabonese dish featuring chicken cooked in palm nut sauce,"Ingredients: 1 whole chicken, 1 cup palm nut sauce, 2 onions, 2 tomatoes, 2 cloves garlic, 1 tbsp ginger, salt, pepper
 Instructions: Cut chicken into pieces, brown in oil. Add chopped onions, garlic, and tomatoes, cook until soft. Add palm nut sauce, ginger, salt, and pepper, simmer until chicken is tender. Serve with rice or plantains.
",-0.803689,11.609444
Gambia,Domoda,"A Gambian groundnut stew made with meat and vegetables, served over rice","Ingredients: 500g meat (beef or chicken), 2 onions, 2 tomatoes, 4 cloves garlic, 1 cup peanut butter, 2 tbsp tomato paste, 2 cups water, 1 tsp chili powder, salt, pepper
 Instructions: Brown meat in oil, set aside. Sauté onions, garlic, and tomatoes until soft. Stir in peanut butter, tomato paste, and water, cook until smooth. Add meat, chili powder, salt, and pepper, simmer until meat is tender. Serve with rice.
",13.443182,-16.600334
Georgia,Khachapuri,"A Georgian cheese-filled bread, often topped with an egg","Ingredients: 2 cups flour, 1 cup water, 1 cup cheese (feta or sulguni), 1 egg, 1 tbsp yeast, 1 tsp salt, 1 tsp sugar
 Instructions: Mix flour, yeast, salt, sugar, and water to form dough. Let rise for 1 hour. Roll out dough, fill with cheese, fold edges to enclose filling. Bake at 200°C for 20 mins. Crack egg on top, bake for another 5 mins. Serve hot.
",42.315407,43.356892
Germany,Sauerbraten,"A German pot roast, typically made with marinated beef","Ingredients: 1kg beef, 2 onions, 2 carrots, 2 cloves garlic, 2 cups red wine, 1 cup vinegar, 1 tbsp sugar, 1 tsp peppercorns, 1 tsp juniper berries, 2 bay leaves, salt, pepper, oil
 Instructions: Marinate beef in wine, vinegar, sugar, peppercorns, juniper berries, and bay leaves for 3 days. Brown meat in oil, add onions, carrots, and garlic, cook until soft. Add marinade, simmer until meat is tender. Serve with potatoes or dumplings.
",51.165691,10.451526
Ghana,Jollof Rice,A popular West African dish of rice cooked in a flavorful tomato and pepper sauce,"Ingredients: 2 cups rice, 1kg chicken, 2 onions, 4 tomatoes, 1 bell pepper, 4 cloves garlic, 1 cup tomato paste, 1 tsp thyme, 1 tsp curry powder, salt, pepper, oil
 Instructions: Brown chicken in oil, set aside. Sauté onions, garlic, tomatoes, and bell pepper until soft. Stir in tomato paste, thyme, curry powder, salt, and pepper. Add rice and chicken, cover with water, simmer until rice is cooked and chicken is tender. Serve hot.
",7.946527,-1.023194
Greece,Moussaka,"A Greek casserole made with layers of eggplant, minced meat, and béchamel sauce","Ingredients: 2 eggplants, 500g ground beef, 2 onions, 4 cloves garlic, 2 tomatoes, 1 cup béchamel sauce, 1 cup grated cheese, 1 tsp cinnamon, salt, pepper, oil
 Instructions: Slice and salt eggplants, let sit for 30 mins. Brown ground beef with onions, garlic, and tomatoes. Add cinnamon, salt, and pepper. Layer eggplants and meat in a baking dish, top with béchamel sauce and cheese. Bake at 180°C for 40 mins. Serve hot.
",39.074208,21.824312
Grenada,Oil Down,"The national dish of Grenada, a stew made with breadfruit, salted meat, and vegetables","Ingredients: 1 breadfruit, 500g salted meat (pork or fish), 2 onions, 4 cloves garlic, 1 coconut, 1 tsp turmeric, 1 tsp thyme, salt, pepper, oil
 Instructions: Peel and slice breadfruit. Sauté onions and garlic in oil, add salted meat, cook until browned. Add breadfruit, coconut milk, turmeric, thyme, salt, and pepper. Cover and simmer until breadfruit is tender and liquid is absorbed. Serve hot.
",12.1165,-61.679008
Guatemala,Pepian,"A traditional Guatemalan stew made with meat, vegetables, and spices, served with rice","Ingredients: 1kg chicken, 2 onions, 4 tomatoes, 2 cloves garlic, 1 bell pepper, 1/4 cup pumpkin seeds, 1/4 cup sesame seeds, 1 tsp cinnamon, 1 tsp cloves, 1 tsp cumin, salt, pepper, oil
 Instructions: Toast pumpkin and sesame seeds, grind to a powder. Brown chicken in oil, set aside. Sauté onions, garlic, tomatoes, and bell pepper until soft. Add ground seeds, cinnamon, cloves, cumin, salt, and pepper. Add chicken and water, simmer until tender. Serve with rice.
",15.783471,-90.230759
Guinea,Poulet Yassa,"A West African dish of chicken marinated in lemon juice and onions, then grilled","Ingredients: 1 whole chicken, 4 onions, 4 cloves garlic, 1/2 cup lemon juice, 1/4 cup mustard, 1 tbsp thyme, salt, pepper, oil
 Instructions: Marinate chicken in lemon juice, mustard, garlic, thyme, salt, and pepper for 2 hours. Brown chicken in oil, set aside. Sauté onions until caramelized. Add chicken and marinade, simmer until tender. Serve with rice.
",9.945587,-9.696645
Guinea-Bissau,Jollof Rice,A popular West African dish of rice cooked in a flavorful tomato and pepper sauce,"Ingredients: 2 cups rice, 1kg chicken, 2 onions, 4 tomatoes, 1 bell pepper, 4 cloves garlic, 1 cup tomato paste, 1 tsp thyme, 1 tsp curry powder, salt, pepper, oil
 Instructions: Brown chicken in oil, set aside. Sauté onions, garlic, tomatoes, and bell pepper until soft. Stir in tomato paste, thyme, curry powder, salt, and pepper. Add rice and chicken, cover with water, simmer until rice is cooked and chicken is tender. Serve hot.
",11.803749,-15.180413
Guyana,Pepperpot,"A Guyanese dish of meat stewed with spices, often served with rice","Ingredients: 1kg beef, 500g pork, 1 onion, 4 cloves garlic, 2 tbsp cassareep, 2 bay leaves, 1 tsp thyme, salt, pepper, oil
 Instructions: Brown beef and pork in oil, set aside. Sauté onion and garlic until soft. Add meat, cassareep, bay leaves, thyme, salt, and pepper. Cover with water, simmer until meat is tender. Serve with rice.
",4.860416,-58.93018
Haiti,Griot,"A Haitian dish of marinated pork, usually served with rice and beans","Ingredients: 1kg pork, 2 limes, 2 onions, 4 cloves garlic, 1 scotch bonnet pepper, 1/4 cup vinegar, 1 tsp thyme, salt, pepper, oil
 Instructions: Marinate pork in lime juice, vinegar, onions, garlic, scotch bonnet, thyme, salt, and pepper for 2 hours. Brown pork in oil, add marinade, simmer until tender. Serve with rice and beans.
",18.971187,-72.285215
Holy See,Minestrone,"A traditional Italian vegetable soup, often made with seasonal vegetables and beans","Ingredients: 2 cups mixed vegetables, 1 cup beans, 1 onion, 2 cloves garlic, 2 tomatoes, 4 cups broth, 1 cup pasta, 1 tsp basil, 1 tsp oregano, salt, pepper, oil
 Instructions: Sauté onion and garlic in oil, add tomatoes and mixed vegetables, cook until soft. Add broth, beans, basil, oregano, salt, and pepper. Simmer until vegetables are tender. Add pasta, cook until al dente. Serve hot.
",41.902916,12.451436
Honduras,Plato Tipico,"A Honduran dish featuring a mix of meats, beans, rice, and plantains","Ingredients: 500g beef, 2 plantains, 2 cups rice, 1 cup red beans, 2 onions, 2 cloves garlic, 1 bell pepper, salt, pepper, oil
 Instructions: Cook rice and beans separately. Fry plantains until golden. Sauté onions, garlic, and bell pepper in oil, add beef, cook until browned. Serve beef with rice, beans, and plantains.
",15.199999,-86.241905
Hungary,Goulash,"A Hungarian stew made with meat, onions, and paprika, served with noodles or bread","Ingredients: 1kg beef, 2 onions, 2 cloves garlic, 2 tomatoes, 2 tbsp paprika, 1 tsp caraway seeds, 4 cups beef broth, salt, pepper, oil
 Instructions: Brown beef in oil, set aside. Sauté onions and garlic until soft. Add beef, tomatoes, paprika, caraway seeds, salt, and pepper. Cover with broth, simmer until meat is tender. Serve with noodles or bread.
",47.162494,19.503304
Iceland,Hákarl,A traditional Icelandic dish of fermented shark,"Ingredients: 1 shark, 1 tbsp salt
 Instructions: Clean and gut shark, cut into pieces. Bury in gravel for 6-12 weeks, allow to ferment. Hang to dry for several months. Cut into small pieces, serve.
",64.963051,-19.020835
India,Biryani,"An Indian mixed rice dish made with spices, meat, and vegetables","Ingredients: 2 cups basmati rice, 1kg chicken, 2 onions, 4 cloves garlic, 1 cup yogurt, 1 tsp turmeric, 1 tsp cumin, 1 tsp garam masala, 1/2 tsp saffron, salt, pepper, oil
 Instructions: Cook rice and set aside. Marinate chicken in yogurt, turmeric, cumin, garam masala, saffron, salt, and pepper. Sauté onions and garlic in oil, add chicken, cook until browned. Layer chicken and rice in a pot, cover, cook on low heat until tender. Serve hot.
",20.593684,78.96288
Indonesia,Rendang,An Indonesian dish of slow-cooked beef with coconut milk and spices,"Ingredients: 1kg beef, 2 onions, 4 cloves garlic, 1 cup coconut milk, 1 tbsp ginger, 1 tbsp lemongrass, 1 tsp turmeric, 1 tsp chili powder, salt, pepper, oil
 Instructions: Sauté onions, garlic, ginger, and lemongrass in oil. Add beef, cook until browned. Stir in coconut milk, turmeric, chili powder, salt, and pepper. Simmer until beef is tender and sauce is thick. Serve hot.
",-0.789275,113.921327
Iran,Kebab,A popular Middle Eastern dish of grilled meat served with flatbread,"Ingredients: 1kg lamb, 2 onions, 4 cloves garlic, 1 tsp cumin, 1 tsp coriander, 1 tsp paprika, salt, pepper, oil
 Instructions: Marinate lamb in onions, garlic, cumin, coriander, paprika, salt, and pepper for 2 hours. Skewer meat, grill until cooked through. Serve with flatbread.
",32.427908,53.688046
Iraq,Masgouf,"Iraq's national dish, featuring grilled or roasted fish seasoned with spices","Ingredients: 1 whole fish, 1 lemon, 2 onions, 4 cloves garlic, 1 tsp turmeric, 1 tsp sumac, 1 tsp salt, 1 tsp pepper, oil
 Instructions: Clean and score fish, marinate in lemon juice, turmeric, sumac, salt, and pepper for 1 hour. Grill fish over an open flame until cooked through. Serve with grilled onions and garlic.
",33.223191,43.679291
Ireland,Irish Stew,"A traditional Irish stew made with lamb, potatoes, and carrots","Ingredients: 1kg lamb, 4 potatoes, 4 carrots, 2 onions, 1 tbsp thyme, 4 cups beef broth, salt, pepper
 Instructions: Brown lamb in a pot, set aside. Sauté onions until soft. Add lamb, potatoes, carrots, thyme, salt, pepper, and broth. Simmer until meat is tender and vegetables are cooked. Serve hot.
",53.41291,-8.24389
Israel,Shakshuka,A Middle Eastern dish of poached eggs in a spicy tomato sauce,"Ingredients: 4 eggs, 2 onions, 4 cloves garlic, 4 tomatoes, 1 bell pepper, 1 tsp cumin, 1 tsp paprika, salt, pepper, oil
 Instructions: Sauté onions, garlic, and bell pepper in oil until soft. Add tomatoes, cumin, paprika, salt, and pepper, simmer until thick. Make wells in sauce, crack eggs into wells, cover, cook until eggs are set. Serve hot.
",31.046051,34.851612
Italy,Pizza,"An iconic Italian dish, typically made with tomato sauce, cheese, and various toppings","Ingredients: 2 cups flour, 1 cup water, 1 tsp yeast, 1 tsp salt, 1 cup tomato sauce, 1 cup mozzarella cheese, toppings of choice
 Instructions: Mix flour, yeast, salt, and water to form dough. Let rise for 1 hour. Roll out dough, top with tomato sauce, cheese, and desired toppings. Bake at 250°C for 10-15 mins. Serve hot.
",41.87194,12.56738
Jamaica,Ackee and Saltfish,"A Jamaican dish of salted fish cooked with ackee fruit, often served with dumplings and breadfruit","Ingredients: 500g saltfish, 2 cans ackee, 2 onions, 2 tomatoes, 1 bell pepper, 4 cloves garlic, 1 tsp thyme, salt, pepper, oil
 Instructions: Soak saltfish overnight, boil and flake. Sauté onions, garlic, bell pepper, and tomatoes in oil. Add saltfish, thyme, salt, and pepper, cook until combined. Gently fold in ackee, cook until heated through. Serve hot.
",18.109581,-77.297508
Japan,Sushi,A traditional Japanese dish of vinegared rice served with various seafood and vegetables,"Ingredients: 2 cups sushi rice, 2 cups water, 1/4 cup rice vinegar, 1 tsp sugar, 1/2 tsp salt, various seafood and vegetables
 Instructions: Rinse rice, cook with water. Mix rice vinegar, sugar, and salt, fold into cooked rice. Slice seafood and vegetables. Shape rice into small mounds, top with seafood and vegetables. Serve with soy sauce and wasabi.
",36.204824,138.252924
Jordan,Mansaf,A Jordanian dish of lamb cooked with yogurt and served over rice,"Ingredients: 1kg lamb, 2 cups yogurt, 2 onions, 4 cloves garlic, 1 tsp turmeric, 1 tsp cumin, 1 tsp cinnamon, 4 cups rice, salt, pepper
 Instructions: Brown lamb in oil, set aside. Sauté onions and garlic until soft. Add yogurt, turmeric, cumin, cinnamon, salt, and pepper, simmer. Add lamb, cook until tender. Serve over rice.
",30.585164,36.238414
Kazakhstan,Beshbarmak,"A Kazakh dish of boiled meat served over flat noodles, often with onions and broth","Ingredients: 1kg meat (lamb or beef), 4 onions, 2 cloves garlic, 4 cups broth, 1 tsp cumin, salt, pepper, noodles
 Instructions: Boil meat with onions, garlic, cumin, salt, and pepper until tender. Remove meat, slice thinly. Cook noodles in broth. Serve meat over noodles with broth.
",48.019573,66.923684
Kenya,Nyama Choma,"A Kenyan dish of grilled meat, typically served with a side of vegetables or starch","Ingredients: 1kg meat (beef or goat), 2 lemons, 4 cloves garlic, 1 tsp chili powder, salt, pepper
 Instructions: Marinate meat in lemon juice, garlic, chili powder, salt, and pepper for 2 hours. Grill meat over charcoal until cooked through. Serve with kachumbari salad.
",-1.286389,37.906193
Kiribati,Ika Mata,"A traditional dish from Kiribati, made with raw fish marinated in coconut cream","Ingredients: 500g fish fillets, 1 cup coconut cream, 1 lemon, 1 onion, 1 tomato, salt, pepper
 Instructions: Dice fish fillets, marinate in lemon juice and salt for 30 mins. Drain, mix with chopped onions and tomatoes. Add coconut cream, season with salt and pepper. Serve chilled.
",-3.370417,-168.734039
Kuwait,Machboos,"A Kuwaiti spiced rice dish with meat, typically chicken or lamb","Ingredients: 2 cups basmati rice, 1kg chicken, 2 onions, 2 tomatoes, 4 cloves garlic, 1 tbsp baharat spice mix, 1 tsp turmeric, 1 tsp cumin, 1 tsp cinnamon, 1/2 cup raisins, 1/2 cup slivered almonds, 4 tbsp ghee, salt, pepper
 Instructions: Cook rice and set aside. Sauté onions and garlic in ghee, add chicken and brown. Add tomatoes, spices, raisins, and almonds, simmer until chicken is tender. Layer rice and chicken mixture, bake at 180°C for 30 mins.
",29.31166,47.481766
Kyrgyzstan,Beshbarmak,"A traditional Kyrgyz dish of boiled meat served over flat noodles, often with onions and broth","Ingredients: 1kg meat (lamb or beef), 4 onions, 2 cloves garlic, 4 cups broth, 1 tsp cumin, salt, pepper, noodles
 Instructions: Boil meat with onions, garlic, cumin, salt, and pepper until tender. Remove meat, slice thinly. Cook noodles in broth. Serve meat over noodles with broth.
",41.20438,74.766098
Laos,Larb,"A Laotian salad made with minced meat, herbs, and lime juice","Ingredients: 500g minced meat (chicken or pork), 1 onion, 2 cloves garlic, 1 tbsp fish sauce, 1 tbsp lime juice, 1 tsp chili flakes, fresh mint, fresh cilantro, salt, pepper
 Instructions: Cook minced meat in a pan until browned. Add chopped onions and garlic, cook until soft. Stir in fish sauce, lime juice, chili flakes, salt, and pepper. Garnish with mint and cilantro. Serve warm.
",19.85627,102.495496
Latvia,Rye Bread Soup,"A Latvian dessert soup made with rye bread, dried fruit, and whipped cream","Ingredients: 2 cups rye bread crumbs, 1 cup dried fruit, 1/2 cup sugar, 1 tsp cinnamon, 4 cups water, whipped cream
 Instructions: Boil rye bread crumbs and dried fruit in water until soft. Add sugar and cinnamon, simmer until thickened. Serve chilled with whipped cream.
",56.879635,24.603189
Lebanon,Kibbeh,"A Lebanese dish of ground meat and bulgur, often served raw or baked","Ingredients: 500g ground meat (lamb or beef), 1 cup bulgur, 1 onion, 1 tsp allspice, 1 tsp cinnamon, 1 tsp cumin, salt, pepper, oil
 Instructions: Soak bulgur in water until soft, drain. Mix with ground meat, chopped onion, allspice, cinnamon, cumin, salt, and pepper. Shape into balls or patties, fry in oil until golden. Serve with yogurt.
",33.854721,35.862285
Lesotho,Papa,"A staple food in Lesotho, made from maize flour and water, served with meat or vegetables","Ingredients: 2 cups maize flour, 4 cups water, salt
 Instructions: Boil water with a pinch of salt. Gradually add maize flour, stirring constantly. Cook until mixture thickens and pulls away from the sides of the pot. Shape into balls and serve with sauce.
",-29.609988,28.233608
Liberia,Palm Butter Soup,A Liberian dish of tender beef cooked in a rich and spicy palm butter sauce,"Ingredients: 500g beef, 2 onions, 4 cloves garlic, 1 cup palm butter, 1 cup chicken broth, 1 tsp cayenne pepper, salt, pepper
 Instructions: Sauté chopped onions and garlic in oil. Add beef and brown. Stir in palm butter, chicken broth, cayenne pepper, salt, and pepper. Simmer until beef is tender. Serve with rice or fufu.
",6.428055,-9.429499
Libya,Couscous,A Libyan dish of steamed semolina served with meat and vegetables,"Ingredients: 2 cups couscous, 1kg lamb, 2 onions, 4 carrots, 2 zucchinis, 1 can chickpeas, 1 tbsp tomato paste, 1 tsp harissa, 1 tsp cumin, 1 tsp paprika, 1/2 tsp turmeric, salt, olive oil
 Instructions: Steam couscous and set aside. Sauté onions, add meat and brown. Add spices, tomato paste, and water, simmer until meat is tender. Add carrots, zucchinis, and chickpeas, cook until vegetables are tender. Serve meat and vegetables over couscous.
",26.3351,17.228331
Liechtenstein,Rösti,"A Liechtenstein dish of grated and fried potatoes, often served with meat or cheese","Ingredients: 4 potatoes, salt, pepper, butter
 Instructions: Grate potatoes, season with salt and pepper. Heat butter in a pan, add grated potatoes, press down to form a flat cake. Cook until golden brown on both sides. Serve hot.
",47.166,9.555373
Lithuania,Cepelinai,"A Lithuanian dish of potato dumplings filled with meat, usually served with sour cream and bacon","Ingredients: 4 potatoes, 500g ground meat, 1 onion, 1 egg, salt, pepper, sour cream, bacon
 Instructions: Grate potatoes, squeeze out excess liquid. Mix with egg, salt, and pepper. Shape into dumplings, fill with ground meat and chopped onions. Boil until cooked through. Serve with sour cream and fried bacon.
",55.169438,23.881275
Luxembourg,Judd mat Gaardebounen,A Luxembourgish dish of smoked pork collar served with broad beans and potatoes,"Ingredients: 1kg smoked pork collar, 500g broad beans, 4 potatoes, 2 onions, 2 cloves garlic, 1 tbsp mustard, salt, pepper
 Instructions: Boil smoked pork collar until tender, set aside. Sauté onions and garlic in oil. Add broad beans, potatoes, mustard, salt, and pepper. Simmer until vegetables are tender. Serve pork with beans and potatoes.
",49.815273,6.129583
Madagascar,Romazava,"A traditional Malagasy stew made with beef, pork, or chicken, and leafy greens","Ingredients: 500g beef, 500g pork, 1 bunch of leafy greens, 2 onions, 4 cloves garlic, 1 tbsp ginger, 1 tbsp tomato paste, salt, pepper, oil
 Instructions: Brown beef and pork in oil, set aside. Sauté onions, garlic, and ginger until soft. Add tomato paste, salt, and pepper. Add leafy greens, beef, and pork, simmer until meat is tender. Serve hot.
",-18.766947,46.869107
Malawi,Nsima,"A Malawian staple food made from ground maize, often served with meat or vegetable stew","Ingredients: 2 cups maize flour, 4 cups water, salt
 Instructions: Boil water with a pinch of salt. Gradually add maize flour, stirring constantly. Cook until mixture thickens and pulls away from the sides of the pot. Shape into balls and serve with sauce.
",-13.254308,34.301525
Malaysia,Nasi Lemak,"A Malaysian dish of rice cooked in coconut milk, served with anchovies, peanuts, and boiled eggs","Ingredients: 2 cups rice, 1 cup coconut milk, 1 cup water, 1 tsp salt, 1 cucumber, 2 boiled eggs, 1/2 cup fried anchovies, 1/2 cup roasted peanuts, sambal
 Instructions: Cook rice with coconut milk, water, and salt. Serve with sliced cucumber, boiled eggs, fried anchovies, roasted peanuts, and sambal.
",4.210484,101.975766
Maldives,Garudhiya,"A Maldivian fish soup, typically made with tuna, coconut, and lime","Ingredients: 500g tuna, 4 cups water, 2 onions, 4 cloves garlic, 1 tbsp ginger, 1 tsp chili powder, salt
 Instructions: Boil tuna, onions, garlic, and ginger in water until tuna is cooked. Add chili powder and salt, simmer for 10 mins. Serve with rice and lime.
",3.202778,73.539144
Mali,Tô,"A Malian dish of millet or sorghum porridge, often served with a sauce made from meat or vegetables","Ingredients: 2 cups millet flour, 4 cups water, salt
 Instructions: Boil water with a pinch of salt. Gradually add millet flour, stirring constantly. Cook until mixture thickens and pulls away from the sides of the pot. Shape into balls and serve with sauce.
",17.570692,-3.996166
Malta,Fenek,A Maltese dish of rabbit stewed in wine and garlic,"Ingredients: 1 rabbit, 2 onions, 4 cloves garlic, 1 cup red wine, 1 tbsp tomato paste, 1 tsp thyme, salt, pepper, oil
 Instructions: Brown rabbit in oil, set aside. Sauté onions and garlic until soft. Add wine, tomato paste, thyme, salt, and pepper. Add rabbit, simmer until tender. Serve with potatoes or bread.
",35.937496,14.375416
Marshall Islands,Spam Musubi,"A popular dish in the Marshall Islands, made with spam, rice, and nori (seaweed)","Ingredients: 1 can spam, 2 cups sushi rice, 2 cups water, 1/4 cup soy sauce, 1/4 cup sugar, nori (seaweed)
 Instructions: Cook rice with water. Slice spam, fry in a pan with soy sauce and sugar until caramelized. Shape rice into small blocks, top with spam slice, wrap with nori. Serve.
",7.131474,171.184478
Mauritania,Thieboudienne,"A Mauritanian dish of fish cooked with rice, vegetables, and spices","Ingredients: 2 cups rice, 1kg fish, 2 onions, 2 tomatoes, 2 carrots, 2 bell peppers, 1/2 cup tomato paste, 1 tbsp parsley, 1 tsp thyme, salt, pepper, oil
 Instructions: Cook fish with onions, tomatoes, and tomato paste until tender, set aside. Sauté vegetables in oil, add parsley, thyme, salt, and pepper. Add rice, cover with water, simmer until cooked. Serve fish over rice and vegetables.
",21.00789,-10.940835
Mauritius,Dholl Puri,"A Mauritian flatbread stuffed with yellow split peas, often served with curry","Ingredients: 2 cups flour, 1 cup yellow split peas, 2 cloves garlic, 1 tsp cumin, salt, oil
 Instructions: Cook split peas with garlic and cumin, mash into a paste. Mix flour with water and salt to form dough. Roll out dough, fill with split pea paste, fold and seal. Cook on a hot griddle until golden brown. Serve with curry.
",-20.348404,57.552152
Mexico,Tacos,"A Mexican dish of corn tortillas filled with various meats, cheese, and vegetables","Ingredients: 1kg meat (beef, chicken, or pork), 12 corn tortillas, 1 onion, 2 cloves garlic, 1 tbsp chili powder, 1 tbsp cumin, salt, pepper, toppings (cheese, lettuce, salsa, etc.)
 Instructions: Brown meat with onions, garlic, chili powder, cumin, salt, and pepper. Warm tortillas on a griddle. Fill tortillas with meat, top with desired toppings. Serve hot.
",23.634501,-102.552784
Micronesia,Taro with Coconut Cream,A traditional Micronesian dish of taro root cooked with coconut cream,"Ingredients: 1kg taro root, 1 cup coconut cream, 1 onion, salt, pepper
 Instructions: Peel and dice taro root, boil until tender. Sauté onions in oil, add coconut cream, salt, and pepper. Add cooked taro, simmer until flavors meld. Serve hot.
",7.425554,150.550812
Moldova,Mămăligă,"A Moldovan dish of cornmeal porridge, often served with cheese, sour cream, or pork","Ingredients: 2 cups cornmeal, 4 cups water, 1 tsp salt, cheese, sour cream
 Instructions: Boil water with salt. Gradually add cornmeal, stirring constantly. Cook until thickened and pulls away from the sides of the pot. Serve with cheese and sour cream.
",47.411631,28.369885
Monaco,Barbagiuan,"A Monacan pastry filled with ricotta cheese and Swiss chard, usually fried or baked","Ingredients: 2 cups flour, 1 cup ricotta cheese, 1 cup Swiss chard, 1 egg, 1 onion, salt, pepper, oil for frying
 Instructions: Mix flour, ricotta, Swiss chard, egg, onion, salt, and pepper to form a filling. Roll out dough, cut into circles, fill with mixture, fold and seal. Fry in hot oil until golden brown. Serve hot.
",43.733334,7.424615
Mongolia,Buuz,"A Mongolian dish of steamed dumplings filled with meat, typically mutton or beef","Ingredients: 2 cups flour, 1 cup water, 500g minced meat (beef or mutton), 1 onion, salt, pepper
 Instructions: Mix flour and water to form dough, let rest. Mix minced meat with chopped onions, salt, and pepper. Roll out dough, cut into circles, fill with meat mixture, fold and seal. Steam until cooked through. Serve hot.
",46.862496,103.846656
Montenegro,Cevapi,"A Montenegrin dish of grilled minced meat sausages, often served with flatbread","Ingredients: 500g ground beef, 500g ground lamb, 1 onion, 2 cloves garlic, 1 tsp paprika, 1 tsp baking soda, salt, pepper
 Instructions: Mix all ingredients thoroughly, refrigerate for a few hours. Shape into small sausages. Grill or fry until cooked through. Serve with pita bread and onions.
",42.708678,19.37439
Morocco,Tagine,"A Moroccan stew made with meat, vegetables, and spices, cooked in a clay pot","Ingredients: 1kg lamb, 2 onions, 2 carrots, 2 zucchinis, 1 cup chickpeas, 2 cloves garlic, 1 tbsp ras el hanout, 1 tsp cinnamon, 1 tsp ginger, salt, pepper, oil
 Instructions: Brown lamb in oil, set aside. Sauté onions, garlic, carrots, and zucchinis until soft. Add lamb, chickpeas, ras el hanout, cinnamon, ginger, salt, and pepper. Cover and simmer until lamb is tender. Serve hot.
",31.791702,-7.09262
Mozambique,Peri-Peri Chicken,A Mozambican dish of chicken marinated with peri-peri sauce and grilled,"Ingredients: 1 whole chicken, 1/4 cup peri-peri sauce, 2 cloves garlic, 1 lemon, salt, pepper, oil
 Instructions: Marinate chicken in peri-peri sauce, minced garlic, lemon juice, salt, and pepper for 2 hours. Grill or roast chicken until cooked through. Serve with rice or salad.
",-18.665695,35.529562
Myanmar (formerly Burma),Mohinga,"A Burmese dish of rice noodles in a fish-based soup, often garnished with coriander and lime","Ingredients: 500g fish, 2 onions, 4 cloves garlic, 1 tbsp ginger, 1 tbsp lemongrass, 1 cup rice noodles, 1 tsp turmeric, 1 tsp fish sauce, salt, pepper
 Instructions: Boil fish, flake and set aside. Sauté onions, garlic, ginger, and lemongrass in oil. Add fish, turmeric, fish sauce, salt, and pepper. Simmer until flavors meld. Serve over rice noodles.
",21.916221,95.956223
Namibia,Biltong,"A Namibian dish of air-dried meat, usually beef or game","Ingredients: 1kg beef, 1/2 cup vinegar, 2 tbsp salt, 1 tbsp coriander, 1 tsp black pepper
 Instructions: Marinate beef in vinegar, salt, coriander, and black pepper for 24 hours. Hang to dry in a well-ventilated area for 3-7 days until firm. Slice thinly and serve.
",-22.95764,18.49041
Nauru,Coconut Fish,"A Nauruan dish of fish cooked in coconut milk, often served with rice","ngredients: 500g fish fillets, 1 cup coconut milk, 1 lemon, 1 onion, 1 tomato, salt, pepper
 Instructions: Dice fish fillets, marinate in lemon juice and salt for 30 mins. Drain, mix with chopped onions and tomatoes. Add coconut milk, season with salt and pepper. Serve chilled.
",-0.522778,166.931503
Nepal,Dal Bhat,"A traditional Nepali meal of steamed rice and lentil soup, served with vegetable curries and pickles","Ingredients: 2 cups rice, 1 cup lentils, 2 onions, 2 tomatoes, 2 cloves garlic, 1 tbsp ginger, 1 tsp turmeric, 1 tsp cumin, 1 tsp coriander, salt, pepper, oil
 Instructions: Cook rice and set aside. Boil lentils until tender. Sauté onions, garlic, and ginger in oil, add tomatoes, turmeric, cumin, coriander, salt, and pepper. Add cooked lentils, simmer until flavors meld. Serve with rice.
",28.394857,84.124008
Netherlands,Stamppot,"A Dutch dish of mashed potatoes mixed with various vegetables, often served with sausage","Ingredients: 4 potatoes, 2 cups kale, 1 onion, 1 sausage, salt, pepper, butter
 Instructions: Boil potatoes and kale until tender, drain. Mash with butter, salt, and pepper. Sauté onions and sausage until browned, mix into mashed potatoes. Serve hot.
",52.132633,5.291266
New Zealand,Pavlova,A New Zealand dessert of meringue topped with whipped cream and fresh fruit,"Ingredients: 4 egg whites, 1 cup sugar, 1 tsp vinegar, 1 tsp cornstarch, whipped cream, fresh fruit
 Instructions: Beat egg whites until stiff, gradually add sugar, beat until glossy. Fold in vinegar and cornstarch. Shape into a circle on baking paper, bake at 150°C for 1 hour. Cool, top with whipped cream and fresh fruit. Serve.
",-40.900557,174.885971
